1,NULL,Akupuntur Medik,0
2,NULL,Anak,0
3,NULL,Bedah,0
4,NULL,Bedah Anak,0
5,NULL,Bedah Orthopedi,0
6,NULL,Bedah Saraf,0
7,NULL,Day Care,0
8,NULL,Digestive,0
9,NULL,Geriatri,0
10,NULL,Gigi & Mulut,0
11,NULL,ICCU,0
12,NULL,ICU,0
13,NULL,Isolasi,0
14,NULL,Jiwa,0
15,NULL,Kardiologi,0
16,NULL,Kardiovaskuler,0
17,NULL,Kebidanan,0
18,NULL,Kedokteran Nuklir,0
19,NULL,Keluarga Berencana,0
20,NULL,Kesehatan Anak,0
21,NULL,Kesehatan Anak (Neonatal),0
22,NULL,Kesehatan Anak Lainnya,0
23,NULL,Konsultasi Gizi,0
24,NULL,Kulit dan Kelamin,0
25,NULL,Kusta,0
26,NULL,Lain-Lain,0
27,NULL,Luka Bakar,0
28,NULL,Mata,0
29,NULL,Napza,0
30,NULL,NICU / PICU,0
31,NULL,Non Bedah,0
32,NULL,Obstetrik & Ginekologi,0
33,NULL,Obstetri,0
34,NULL,Ginekologi,0
35,NULL,Obstetri & Ginekologi (Ibu Hamil),0
36,NULL,Obstetri & Ginekologi Lainnya,0
37,NULL,Paru-paru,0
38,NULL,Pelayanan Rawat Darurat,0
39,NULL,Penatalaksana Pnyguna. NAPZA,0
40,NULL,Penyakit Dalam,0
41,NULL,Perinatologi,0
42,NULL,Perinatologi/Bayi,0
43,NULL,Psikiatrik,0
44,NULL,Psikologi,0
45,NULL,Radiologi,0
46,NULL,Radioterapi,0
47,NULL,Rawat Darurat,0
48,NULL,Rehabilitasi Medik,0
49,NULL,Saraf,0
50,NULL,Thorak,0
51,NULL,THT,0
52,NULL,Umum,0
53,NULL,Urologi,0
54,NULL,Tumpatan Gigi Tetap,0
55,NULL,Tumpatan Gigi Sulung,0
56,NULL,Pengobatan Pulpa,0
57,NULL,Pencabutan Gigi Tetap,0
58,NULL,Pencabutan Gigi Sulung,0
59,NULL,Pengobatan Periodontal,0
60,NULL,Pengobatan Abses,0
61,NULL,Pembersihan Karang Gigi,0
62,NULL,Prothese Lengkap,0
63,NULL,Prothese Sebagian,0
64,NULL,Prothese Cekat,0
65,NULL,Orthodonti,0
66,NULL,Jacket/Bridge,0
67,NULL,Bedah Mulut,0
68,NULL,Persalinan Normal,0
69,NULL,Sectio caesaria,0
70,NULL,Pers dg komplikasi,0
71,NULL,Perd sbl Persalinan,0
72,NULL,Perd sdh Persalinan,0
73,NULL,Pre Eclampsi,0
74,NULL,Eclampsi,0
75,NULL,Infeksi,0
76,NULL,Abortus,0
77,NULL,Imunisasi - TT1,0
78,NULL,Imunisasi - TT2,0
79,NULL,Bayi Lahir Hidup,0
80,NULL,>= 2500 gram,0
81,NULL,< 2500 gram,0
82,NULL,Kematian Perinatal,0
83,NULL,Kelahiran Mati,0
84,NULL,Mati Neonatal < 7 Hari,0
85,NULL,Sebab Kematian,0
86,NULL,Asphyxia,0
87,NULL,Trauma Kelahiran,0
88,NULL,BBLR,0
89,NULL,Tetanus Neonatorum,0
90,NULL,Kelainan Congenital,0
91,NULL,ISPA,0
92,NULL,Diare,0
93,NULL,Radiodiagnostik Foto Tanpa Bahan Kontras,0
94,NULL,Foto Dengan Bahan Kontras,0
95,NULL,Foto Dengan Rol Film,0
96,NULL,Flouroskopi,0
97,NULL,Foto Gigi,0
98,NULL,C.T. Scan,0
99,NULL,Lymphografi,0
100,NULL,Angiograpi,0
101,NULL,Radiotherapi Jumlah Kegiatan Radiotherapi,0
102,NULL,Kedokteran Nuklir Jumlah Kegiatan Diagnostik,0
103,NULL,Jumlah Kegiatan Therapi,0
104,NULL,Imaging/pencitraan USG,0
105,NULL,MRI,0
106,NULL,HEMATOLOGI,0
107,NULL,Sitologi Sel Darah,0
108,NULL,"Eosinofil, hitung jumlah",0
109,NULL,"Eritrosit, hitung jumlah",0
110,NULL,"Leukosit, hitung jenis",0
111,NULL,"Leukosit, hitung jumlah",0
112,NULL,"Limfosit plasma biru, hitung jumlah",0
113,NULL,Morfologi sel,0
114,NULL,"Retikulosit, hitung jumlah",0
115,NULL,"Trombosit, hitung jumlah",0
116,NULL,Sitokimia darah,0
117,NULL,"Besi, pewarnaan",0
118,NULL,"Neutrophil Alkaline Phosphatase/NAP, pewarnaan",0
119,NULL,"Nitroblue tetrazoleum, pewarnaan",0
120,NULL,"Periodic Acid Schiff/PAS, pewarnaan",0
121,NULL,"Peroksidase, pewarnaan",0
122,NULL,"Sudan Black B, pewarnaan",0
123,NULL,Analisa Hb,0
124,NULL,"Hemoglobin A2, penetapan kadar",0
125,NULL,"Hemoglobin F, identifikasi",0
126,NULL,"Hemoglobin F, penetapan kadar",0
127,NULL,Perbankan Darah,0
128,NULL,"Coomb's, percob. direk, indirek",0
129,NULL,"Penetapan gol darah A, B, O, Rh dll",0
130,NULL,Uji saring antibodi pada darah donor,0
131,NULL,Uji silang mayor/minor,0
132,NULL,Hemostasis,0
133,NULL,Agregasi trombosit,0
134,NULL,Antitrombin III,0
135,NULL,Cryofibrinogen/cryoglobulin,0
136,NULL,D Dimer,0
137,NULL,Euglobulin Clotlysis,0
138,NULL,"Faktor pembekuan V, VII, VIII, IX, X",0
139,NULL,"Faktor pembekuan VIII, IX, X, penetapan kadar",0
140,NULL,"Faktor pembekuan XII, XIII, penetapan kadar",0
141,NULL,Fibrinogen Degradation Product/FDP,0
142,NULL,"Fibrinogen, penetapan kadar",0
143,NULL,"Pembekuan, masa",0
144,NULL,"Pembendungan, percobaan",0
145,NULL,"Perdarahan, masa",0
146,NULL,Plasminogen activator inhibitor -1/PAI-1,0
147,NULL,Protein C,0
148,NULL,Protein S,0
149,NULL,"Protrombin plasma, masa",0
150,NULL,Retraksi bekuan,0
151,NULL,"Trombin, masa",0
152,NULL,"Trombin, penetapan waktu seri",0
153,NULL,"Tromboplastin, masa partial teraktivasi",0
154,NULL,Trombotest/Owren Test,0
155,NULL,Pemeriksaan lain,0
156,NULL,"Eritrosit, ketahanan osmotik",0
157,NULL,Ham's test,0
158,NULL,"Hematokrit, penetapan nilai",0
159,NULL,Hemoglobin Eritrosit Rata-rata/HER,0
160,NULL,Konsentrasi Hemoglobin Eritrosit Rata-rata/KHER,0
161,NULL,Laju endapan darah,0
162,NULL,Sel L.E.,0
163,NULL,Volume Eritrosit Rata-rata/VER,0
164,NULL,KIMIA KLINIK,0
165,NULL,Protein dan NPN,0
166,NULL,Albumin,0
167,NULL,Amoniak,0
168,NULL,Asam urat,0
169,NULL,Bilirubin,0
170,NULL,Gamma globulin,0
171,NULL,Globulin,0
172,NULL,Haptoglobin,0
173,NULL,Kreatinin,0
174,NULL,Methemoglobin,0
175,NULL,Mikroalbumin,0
176,NULL,Myoglobin,0
177,NULL,Porfirin,0
178,NULL,Protein Bence Jones,0
179,NULL,Protein Elektroforesis,0
180,NULL,Protein Esbach,0
181,NULL,"Protein, penetapan kualitatif",0
182,NULL,"Protein, penetapan semikuantitatif",0
183,NULL,"Protein Total, penetapan kuantitatif",0
184,NULL,Urea/BUN,0
185,NULL,Urobilin,0
186,NULL,Urobilinogen,0
187,NULL,Karbohidrat,0
188,NULL,Amilum,0
189,NULL,Fruktosa,0
190,NULL,Galaktosa,0
191,NULL,Glukosa,0
192,NULL,Laktosa,0
193,NULL,"Lipid, Lipoprotein, Apoprotein",0
194,NULL,Apoprotein A/B,0
195,NULL,Fosfolipid/serebrosit/sfingolipid,0
196,NULL,Kolesterol High Density Lipoprotein (HDL),0
197,NULL,Kolesterol Low Density Lipoprotein (LDL),0
198,NULL,Kolesterol total,0
199,NULL,Lipid total,0
200,NULL,Lipoprotein (a) / Lp (a),0
201,NULL,Small Dense LDL,0
202,NULL,Trigliserida,0
203,NULL,Enzim,0
204,NULL,Alkali fosfatase,0
205,NULL,Aldolase/ALD,0
206,NULL,Amilase,0
207,NULL,Asam fosfatase,0
208,NULL,Cholinesterase,0
209,NULL,"Creatinin, Kinase, MB Iso enzym",0
210,NULL,"Creatinin, Phosphokinase CPK-NAC = Creatinin Kinas",0
211,NULL,Gamma GT/Glutamil Transferase,0
212,NULL,Glutamat Lakto Dehidrogenase/GLDH,0
213,NULL,Glutamat Oksaloasetik Transaminase/GOT=Aspartat Am,0
214,NULL,Glutamat Piruvat Transaminase/GPT = Alanin Amino T,0
215,NULL,Hidroksi Butirik Dehidrogenase/HBDH,0
216,NULL,Isositrat Dehidrogenase/ICD,0
217,NULL,Laktat Dehidrogenase/LDH,0
218,NULL,Leucine Amino Peptidase/LAP,0
219,NULL,Lipase,0
220,NULL,Mikronutrient dan Monitoring kadar terapi obat,0
221,NULL,Aminofilin/Teofilin,0
222,NULL,Asam folat,0
223,NULL,"Besi, penetapan kadar",0
224,NULL,Besi - TIBC,0
225,NULL,"Besi, unsaturated IBC",0
226,NULL,Digitoksin,0
227,NULL,Digoksin,0
228,NULL,Fenitoin,0
229,NULL,Fenobarbital,0
230,NULL,Ferritin,0
231,NULL,Iodium,0
232,NULL,Isoniazid,0
233,NULL,Karbamazepin,0
234,NULL,Magnesium,0
235,NULL,Metotreksat,0
236,NULL,Propanolol,0
237,NULL,Seng,0
238,NULL,Siklosporin,0
239,NULL,Tembaga,0
240,NULL,Vitamin A,0
241,NULL,Vitamin B12,0
242,NULL,Elektrolit,0
243,NULL,Fosfat anorganik,0
244,NULL,Kalium,0
245,NULL,Kalsium,0
246,NULL,Klorida,0
247,NULL,Natrium,0
248,NULL,Magnesium,0
249,NULL,Fungsi Organ,0
250,NULL,Asam laktat,0
251,NULL,Creatinin clearance,0
252,NULL,Cystatin C,0
253,NULL,Indeks ikterus,0
254,NULL,Insulin clearance,0
255,NULL,Insulin dalam plasma,0
256,NULL,Kalsium,0
257,NULL,"Lemak, tes absorbsi",0
258,NULL,Urea clearance,0
259,NULL,Hormon dan Fungsi Endokrin,0
260,NULL,Adenocorticotropin Hormon/ACTH,0
261,NULL,Anti Diuretik Hormon/ADH Respon,0
262,NULL,Aldosteron,0
263,NULL,Calcitonin,0
264,NULL,C Peptide,0
265,NULL,Estrogen,0
266,NULL,"Estradiol, 17 Beta",0
267,NULL,Follicle Stimulating Hormon,0
268,NULL,Fruktosamin,0
269,NULL,Gastrin,0
270,NULL,Glucocorticoid,0
271,NULL,Growth Hormon,0
272,NULL,Hb glikosilat/HbA1c,0
273,NULL,Human Chorionic Gonadotropin/HCG,0
274,NULL,Insulin Growth Factor 1 / IGF1,0
275,NULL,Iodine uptake dan saturasi/T3 dan T4 uptake,0
276,NULL,Insulin,0
277,NULL,Keton,0
278,NULL,Kortisol,0
279,NULL,Luteinizing Hormon/LH,0
280,NULL,"Pankreas, fungsi dengan tes triolen",0
281,NULL,Pregnandiol,0
282,NULL,Progesteron,0
283,NULL,Prolaktin,0
284,NULL,Renin,0
285,NULL,Testosteron,0
286,NULL,Thyroglobulin,0
287,NULL,Thyroxin dalam serum/T4,0
